dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,wobbliness,temp,atemp,hum,congeniality,windspeed,casual,registered,cnt
40545,1,0,1,2,0,0,0,2,90.60804785,0.42,0.4242,1,2.8358,0.2836,1,8,9
40545,1,0,1,3,0,0,0,2,19.27351258,0.46,0.4545,0.94,2.8055,0.194,2,4,6
40545,1,0,1,4,0,0,0,2,51.58730023,0.46,0.4545,0.94,2.8055,0.194,2,1,3
40545,1,0,1,6,0,0,0,3,73.11037563,0.42,0.4242,0.77,2.3758,0.2985,0,2,2
40545,1,0,1,8,0,0,0,3,39.2944595,0.4,0.4091,0.71,2.2109,0.2239,0,8,8
40545,1,0,1,9,0,0,0,2,0.694242726,0.38,0.3939,0.76,2.2661,0.2239,1,19,20
40545,1,0,1,11,0,0,0,2,58.34020125,0.36,0.3333,0.71,2.1667,0.2537,16,54,70
40545,1,0,1,12,0,0,0,2,58.71934785,0.36,0.3333,0.66,2.0667,0.2985,20,73,93
40545,1,0,1,13,0,0,0,2,60.06773052,0.36,0.3485,0.66,2.0515,0.1343,11,64,75
40545,1,0,1,14,0,0,0,3,83.44255001,0.36,0.3485,0.76,2.2515,0.194,4,55,59
40545,1,0,1,15,0,0,0,3,95.65201597,0.34,0.3333,0.81,2.3067,0.1642,19,55,74
40545,1,0,1,16,0,0,0,3,64.39746574,0.34,0.3333,0.71,2.1067,0.1642,9,67,76
40545,1,0,1,18,0,0,0,2,65.24721646,0.36,0.3333,0.46,1.6667,0.3284,10,43,53
40545,1,0,1,19,0,0,0,1,85.57779484,0.32,0.2879,0.42,1.5121,0.4478,1,29,30
40545,1,0,1,20,0,0,0,1,77.19849989,0.3,0.2727,0.39,1.4073,0.3582,5,17,22
40545,1,0,1,21,0,0,0,1,37.84518281,0.26,0.2273,0.44,1.4327,0.3284,11,20,31
40545,1,0,1,22,0,0,0,1,83.47016685,0.24,0.2121,0.44,1.3879,0.2985,0,9,9
40545,1,0,1,23,0,0,0,1,11.84185003,0.22,0.2273,0.47,1.3727,0.1642,0,8,8
40546,1,0,1,4,0,1,1,1,62.73512808,0.16,0.1364,0.47,1.2836,0.3881,0,1,1
40546,1,0,1,6,0,1,1,1,69.3341874,0.14,0.1061,0.5,1.3139,0.3881,0,30,30
40546,1,0,1,7,0,1,1,1,65.04053425,0.14,0.1364,0.5,1.2836,0.194,1,63,64
40546,1,0,1,8,0,1,1,1,21.76030561,0.14,0.1212,0.5,1.2988,0.2836,1,153,154
40546,1,0,1,9,0,1,1,1,71.9161031,0.16,0.1364,0.43,1.2036,0.3881,7,81,88
40546,1,0,1,10,0,1,1,1,8.966086323,0.18,0.1667,0.43,1.2333,0.2537,11,33,44
40546,1,0,1,11,0,1,1,1,,0.2,0.1818,0.4,1.2182,0.3284,10,41,51
40546,1,0,1,14,0,1,1,1,33.91828816,0.26,0.2424,0.3,1.1376,0.2836,11,66,77
40546,1,0,1,15,0,1,1,1,51.47029941,0.26,0.2424,0.3,1.1376,0.2537,14,58,72
40546,1,0,1,16,0,1,1,1,86.47162441,0.26,0.2424,0.3,1.1376,0.2537,9,67,76
40546,1,0,1,17,0,1,1,1,59.79024075,0.24,0.2273,0.3,1.0927,NA,11,146,157
40546,1,0,1,18,0,1,1,1,75.93341263,0.24,0.2576,0.32,1.1024,0.1045,9,148,157
40546,1,0,1,19,0,1,1,1,88.95052295,0.2,0.2576,0.47,1.2824,0,8,102,110
40546,1,0,1,22,0,1,1,1,52.22179968,0.14,0.1515,0.69,1.6485,0.1343,0,20,20
40546,1,0,1,23,0,1,1,1,78.73264054,0.18,0.2121,0.55,NA,0.1045,1,11,12
40547,1,0,1,2,0,2,1,1,57.50126434,0.14,0.1515,0.63,1.5285,0.1343,0,1,1
40547,1,0,1,5,0,2,1,1,37.08024229,0.12,0.1515,0.68,1.5685,0.1045,0,4,4
40547,1,0,1,6,0,2,1,1,23.95901202,0.12,0.1515,0.74,1.6885,0.1045,0,36,36
40547,1,0,1,7,0,2,1,1,78.11436273,0.12,0.1515,0.74,1.6885,0.1343,2,92,94
40547,1,0,1,11,0,2,1,1,71.03860893,0.22,0.2121,0.51,1.4679,0.2985,7,50,57
40547,1,0,1,15,0,2,1,1,71.07547707,0.28,0.2727,0.52,1.6073,0.2537,17,48,65
40547,1,0,1,16,0,2,1,1,31.48460983,0.3,0.2879,0.49,1.5921,0.2537,15,68,83
40547,1,0,1,17,0,2,1,1,16.9756197,0.28,0.2727,0.48,1.5273,0.2239,10,202,212
40547,1,0,1,18,0,2,1,1,39.75705044,0.26,0.2576,0.48,1.4824,0.194,3,179,182
40547,1,0,1,19,0,2,1,1,1.015319101,0.24,0.2576,0.48,1.4224,0.1045,2,110,112
40547,1,0,1,21,0,2,1,,93.14903074,0.22,0.2727,0.64,1.6673,0,0,48,48
40547,1,0,1,22,0,2,1,1,34.75395114,0.22,0.2576,0.64,1.6824,0.0896,1,34,35
40547,1,0,1,23,0,2,1,1,60.74267024,0.2,0.2273,0.69,1.7527,0.0896,2,9,11
40548,1,0,1,1,0,3,1,1,15.72626818,0.16,0.197,0.74,1.763,0.0896,0,6,6
40548,1,0,1,2,0,3,1,1,7.207385134,0.16,0.197,0.74,1.763,0.0896,0,2,2
40548,1,0,1,4,0,3,1,1,48.19633051,0.24,0.2273,0.48,1.4527,0.2239,0,2,2
40548,1,0,1,5,0,3,1,1,88.76184719,0.22,0.2273,0.47,1.3727,0.1642,0,3,3
40548,1,0,1,6,0,3,1,1,68.56855077,0.2,0.197,0.47,1.343,0.2239,0,33,33
40548,1,0,1,7,0,3,1,1,36.31342796,0.18,0.1818,0.43,1.2182,0.194,1,87,88
40548,1,0,1,8,0,3,1,1,73.29094379,0.2,0.1818,0.4,1.2182,0.2985,3,192,195
40548,1,0,1,11,0,3,1,1,29.08499759,0.26,0.2273,0.33,1.2127,0.3284,12,34,46
40548,1,0,1,12,0,3,1,1,37.24485442,0.26,0.2273,0.33,1.2127,0.3284,5,74,79
40548,1,0,1,13,0,3,1,1,81.39566011,0.28,0.2576,0.3,1.1824,0.2985,6,65,71
40548,1,0,1,14,0,3,1,1,36.35180029,0.3,0.2879,NA,1.1721,0.194,10,52,62
40548,1,0,1,15,0,3,1,1,73.11394854,0.3,0.2879,0.28,1.1721,0.194,7,55,62
40548,1,0,1,17,0,3,1,1,35.19655934,0.24,0.2273,0.38,1.2527,0.194,4,186,190
40548,1,0,1,18,0,3,1,1,53.0031671,0.24,0.2424,0.38,1.2376,0.1343,3,166,169
40548,1,0,1,19,0,3,1,1,92.18803604,0.24,0.2576,0.38,1.2224,0.1045,5,127,132
40548,1,0,1,21,0,3,1,1,14.41336264,0.2,0.197,0.51,1.423,0.194,3,40,43
40548,1,0,1,22,0,3,1,1,12.16638739,0.18,0.197,0.55,1.443,0.1343,1,41,42
40548,1,0,1,23,0,3,1,1,38.23330563,0.2,0.2576,0.47,1.2824,0,1,18,19
40549,1,0,1,1,0,4,1,1,63.75806563,0.16,0.2273,0.64,1.5327,0,0,4,4
40549,1,0,1,5,0,4,1,2,54.58523621,0.14,0.1818,0.69,1.6182,0.0896,0,4,4
40549,1,0,1,6,0,4,1,2,14.86688721,0.14,0.1667,0.63,NA,0.1045,0,36,36
40549,1,0,1,7,0,4,1,2,56.29663668,0.16,0.2273,NA,1.4327,0,0,95,95
40549,1,0,1,8,0,4,1,1,99.59894006,0.16,0.2273,0.59,NA,0,3,216,219
40549,1,0,1,10,0,4,1,1,39.82666578,0.2,0.2576,0.47,1.2824,0,3,42,45
40549,1,0,1,11,0,4,1,1,49.23751309,0.22,0.2576,0.44,1.2824,0.0896,2,57,59
40549,1,0,1,12,0,4,1,1,55.06421728,0.26,0.2879,0.35,1.1921,0,6,78,84
40549,1,0,1,13,0,4,1,1,69.20620023,0.26,0.2727,0.35,1.2073,0.1045,12,55,67
40549,1,0,1,14,0,4,1,1,65.94494471,0.28,0.2727,0.36,1.2873,0.1642,11,59,70
40549,1,0,1,15,0,4,1,1,77.78617139,0.28,0.2727,0.36,1.2873,0,8,54,62
40549,1,0,1,16,0,4,1,1,7.349379525,0.26,0.2576,0.38,1.2824,0.1642,12,74,86
40549,1,0,1,18,0,4,1,1,88.32420197,0.22,0.2273,0.51,1.4527,0.1343,5,158,163
40549,1,0,1,19,0,4,1,1,56.23875626,0.22,0.2576,0.55,1.5024,0.0896,3,109,112
40549,1,0,1,20,0,4,1,1,,0.2,0.2121,0.51,1.4079,0.1642,3,66,69
40549,1,0,1,21,0,4,1,2,57.27317973,0.22,0.2121,0.55,1.5479,0.2239,0,48,48
40549,1,0,1,22,0,4,1,2,14.02420925,0.22,0.2121,0.51,1.4679,0.2836,1,51,52
40549,1,0,1,23,0,4,1,2,64.89686569,0.2,0.197,0.59,1.583,NA,4,19,23
40550,1,0,1,1,0,5,1,2,26.4324777,0.2,0.197,0.69,1.783,0.2239,2,5,7
40550,1,0,1,2,0,5,1,2,27.55780519,0.2,0.197,0.69,1.783,0.2239,0,1,1
40550,1,0,1,4,0,5,1,2,62.8136723,0.2,0.2121,0.69,1.7679,0.1343,0,1,1
40550,1,0,1,5,0,5,1,3,31.60811939,0.22,0.2727,0.55,1.4873,0,0,5,5
40550,1,0,1,6,0,5,1,2,95.66181865,0.2,0.2576,0.69,1.7224,0,8,26,34
40550,1,0,1,7,0,5,1,1,29.36338776,0.2,0.2121,0.69,1.7679,0.1343,8,76,84
40550,1,0,1,8,0,5,1,1,31.29879885,0.2,0.197,0.51,1.423,0.2537,20,190,210
40550,1,0,1,9,0,5,1,1,45.76383611,0.2,0.1818,0.47,1.3582,0.2985,9,125,134
40550,1,0,1,10,0,5,1,1,8.375530937,0.22,0.197,0.37,1.203,0.3284,16,47,63
40550,1,0,1,11,0,5,1,2,11.16609491,0.2,0.197,0.4,1.203,0.2239,19,48,67
40550,1,0,1,12,0,5,1,2,1.940474663,0.2,0.197,0.37,1.143,0.2537,9,50,59
40550,1,0,1,15,0,5,1,2,4.928995195,0.2,0.2121,0.37,1.1279,0.1642,9,63,72
40550,1,0,1,17,0,5,1,2,23.56501982,0.2,0.2576,0.37,1.0824,0,9,178,187
40550,1,0,1,19,0,5,1,1,35.83012923,0.16,0.197,0.55,1.383,0.0896,3,92,95
40550,1,0,1,20,0,5,1,1,4.876992498,0.18,0.2121,0.47,1.2679,0.1045,1,50,51
40550,1,0,1,22,0,5,1,2,48.76411302,0.18,0.197,0.43,1.203,0.1642,2,34,36
40550,1,0,1,23,0,5,1,2,47.20944455,0.18,0.197,0.51,1.363,0.1642,1,14,15
40551,1,0,1,0,0,6,0,2,56.04887177,0.18,0.197,0.51,1.363,0.1642,1,24,25
40551,1,0,1,2,0,6,0,2,2.015692362,0.18,0.2424,0.55,1.3976,0,3,13,16
40551,1,0,1,3,0,6,0,3,42.90017392,0.18,0.197,0.55,1.443,0.1642,0,7,7
40551,1,0,1,4,0,6,0,3,16.08866486,0.18,0.197,0.55,1.443,0.1642,0,1,1
40551,1,0,1,5,0,6,0,2,49.57262308,0.16,0.1667,0.74,1.7933,0.1642,0,5,5
40551,1,0,1,7,0,6,0,2,99.20350812,0.16,0.1818,0.74,1.7782,0.1045,1,8,9
40551,1,0,1,8,0,6,0,3,92.56853387,0.16,0.1818,0.93,2.1582,0.1045,0,15,15
40551,1,0,1,9,0,6,0,3,10.55789235,0.16,0.1818,0.93,2.1582,0.1045,0,20,20
40551,1,0,1,10,0,6,0,2,46.13428158,0.18,0.197,0.8,1.943,0.1642,5,56,61
40551,1,0,1,11,0,6,0,2,87.68666199,0.2,0.1818,0.69,1.7982,0.3881,2,60,62
40551,1,0,1,13,0,6,0,1,57.29134914,0.2,0.1818,0.44,1.2982,0.3284,7,95,102
40551,1,0,1,14,0,6,0,1,54.28468736,0.2,0.1667,0.32,1.0733,NA,12,83,95
40551,1,0,1,16,0,6,0,1,94.56576705,0.18,0.1364,0.29,0.9836,0.4478,8,68,76
40551,1,0,1,17,0,6,0,1,92.19089113,0.16,0.1212,0.37,1.0988,0.5522,5,64,69
40551,1,0,1,18,0,6,0,1,68.34928963,0.14,0.1212,0.39,1.0788,NA,3,52,55
40551,1,0,1,20,0,6,0,1,91.86391314,0.12,0.1212,0.36,0.9588,0.2537,0,28,28
40551,1,0,1,21,0,6,0,1,81.18308195,0.12,0.1061,0.39,1.0339,0.3582,2,35,37
40551,1,0,1,22,0,6,0,1,64.52653409,0.12,0.1061,0.36,0.9739,0.3881,1,33,34
40551,1,0,1,23,0,6,0,,89.93760048,0.1,0.0606,0.39,1.0194,0.4478,0,22,22
40552,1,0,1,0,0,0,0,1,95.48274178,0.1,0.0758,0.42,1.0642,0.3881,1,24,25
40552,1,0,1,1,0,0,0,1,10.03385108,0.1,0.0606,0.42,1.0794,0.4627,0,12,12
40552,1,0,1,2,0,0,0,1,80.20761723,0.1,0.0606,0.46,1.1594,0.4627,0,11,11
40552,1,0,1,3,0,0,0,1,7.563173946,0.1,0.0758,0.46,1.1442,0.4179,0,4,4
40552,1,0,1,6,0,0,0,1,91.9252801,0.1,0.0909,0.49,1.1891,0.2836,0,1,1
40552,1,0,1,7,0,0,0,1,29.57798926,0.08,0.0909,0.53,1.2091,0.194,1,5,6
40552,1,0,1,8,0,0,0,1,20.70304544,0.1,0.0909,0.49,1.1891,0.2836,0,10,10
40552,1,0,1,9,0,0,0,1,72.70253821,0.12,0.0758,0.46,1.2042,0.5224,0,19,19
40552,1,0,1,10,0,0,0,1,60.639121,0.14,0.1061,0.43,1.1739,0.3881,0,49,49
40552,1,0,1,11,0,0,0,1,21.85562264,0.16,0.1212,0.4,1.1588,0.5224,2,47,49
40552,1,0,1,13,0,0,0,1,28.19337897,0.2,0.1667,0.34,1.1133,0.4478,6,69,75
40552,1,0,1,15,0,0,0,1,85.62092997,0.22,0.197,0.35,1.163,NA,5,77,82
40552,1,0,1,19,0,0,0,1,90.87897184,0.16,0.1364,0.43,1.2036,0.3284,1,40,41
40552,1,0,1,20,0,0,0,1,20.10186185,0.14,0.1212,0.46,1.2188,0.2537,0,38,38
40552,1,0,1,21,0,0,0,1,40.48447078,0.14,0.1061,0.46,1.2339,0.4179,1,19,20
40552,1,0,1,22,0,0,0,1,10.89278077,0.14,0.1212,0.46,1.2188,NA,5,10,15
40552,1,0,1,23,0,0,0,1,24.24467869,0.12,0.1364,0.5,1.2236,0.194,0,6,6
40553,1,0,1,0,0,1,1,1,11.27700403,0.12,0.1212,0.5,1.2388,0.2836,2,3,5
40553,1,0,1,1,0,1,1,1,11.74177655,0.12,0.1212,0.5,1.2388,0.2836,1,0,1
40553,1,0,1,2,0,1,1,1,31.92150324,0.12,0.1212,0.5,1.2388,0.2239,0,3,3
40553,1,0,1,3,0,1,1,1,95.58942188,0.12,0.1212,0.5,1.2388,0.2239,0,1,1
40553,1,0,1,4,0,1,1,1,87.34901331,0.1,0.1212,0.54,1.2588,0.1343,1,2,3
40553,1,0,1,5,0,1,1,1,37.26049218,0.1,0.1061,0.54,1.2739,0.2537,0,3,3
40553,1,0,1,6,0,1,1,1,63.46134589,0.12,0.1212,0.5,1.2388,0.2836,0,31,31
40553,1,0,1,7,0,1,1,,87.3752907,0.12,0.1212,0.5,1.2388,0.2239,2,75,77
40553,1,0,1,8,0,1,1,2,24.16602955,0.12,0.1212,0.5,1.2388,0.2836,4,184,188
40553,1,0,1,9,0,1,1,2,71.01386831,0.14,0.1212,0.5,1.2988,0.2537,2,92,94
40553,1,0,1,10,0,1,1,2,11.05143819,0.14,0.1212,0.5,1.2988,0.2985,0,31,31
40553,1,0,1,11,0,1,1,2,82.72002792,0.16,0.1364,0.47,1.2836,0.2836,2,28,30
40553,1,0,1,12,0,1,1,2,63.83666662,0.2,0.1818,0.4,NA,0.2836,5,47,52
40553,1,0,1,13,0,1,1,2,14.21453064,0.2,0.1818,0.4,1.2182,0.2836,4,50,54
40553,1,0,1,14,0,1,1,2,48.57052964,0.2,0.197,0.4,1.203,0.2239,0,47,47
40553,1,0,1,15,0,1,1,2,57.53425906,0.2,0.197,0.4,1.203,0.2239,2,43,45
40553,1,0,1,16,0,1,1,1,88.27511489,0.2,0.2121,0.4,1.1879,0.1343,4,70,74
40553,1,0,1,17,0,1,1,1,93.18535908,0.2,0.2273,0.4,1.1727,0.1045,4,174,178
40553,1,0,1,19,0,1,1,1,96.01726777,0.16,0.1667,0.47,1.2533,0.1642,3,92,95
40553,1,0,1,20,0,1,1,1,97.95412658,0.16,0.1667,0.5,1.3133,0.1642,1,73,74
40553,1,0,1,21,0,1,1,1,22.83021613,0.14,0.1364,0.59,NA,0.194,1,37,38
40553,1,0,1,22,0,1,1,1,84.15928684,0.14,0.1515,0.59,1.4485,0.1642,2,22,24
40553,1,0,1,23,0,1,1,1,41.17961235,NA,0.1515,0.59,1.4485,0.1642,0,18,18
40554,1,0,1,0,0,2,1,1,55.7730148,0.14,0.1667,0.59,1.4333,0.1045,2,10,12
40554,1,0,1,1,0,2,1,1,59.12136915,0.14,0.1515,0.59,1.4485,0.1642,0,3,3
40554,1,0,1,2,0,2,1,2,50.27311861,0.16,0.1515,0.55,1.4285,0.194,0,3,3
40554,1,0,1,6,0,2,1,2,72.55087418,0.16,0.1818,0.55,1.3982,0.1343,0,27,27
40554,1,0,1,8,0,2,1,2,51.55645633,0.18,0.2121,0.51,1.3479,0.0896,3,214,217
40554,1,0,1,9,0,2,1,2,10.46199084,0.18,0.197,0.51,1.363,0.1642,3,127,130
40554,1,0,1,10,0,2,1,2,59.30855034,0.2,0.2121,0.51,NA,NA,3,51,54
40554,1,0,1,11,0,2,1,2,61.3369232,0.2,0.2121,NA,1.3279,0.1343,4,31,35
40554,1,0,1,12,0,2,1,2,34.2325938,0.2,0.2273,0.51,1.3927,0.1045,2,55,57
40554,1,0,1,13,0,2,1,2,23.80443955,0.2,0.2273,0.59,1.5527,0.0896,6,46,52
40554,1,0,1,14,0,2,1,2,89.60370756,0.2,0.2273,0.59,1.5527,0.0896,3,60,63
40554,1,0,1,16,0,2,1,2,36.68486051,0.16,0.1515,0.86,NA,0.2239,4,72,76
40554,1,0,1,17,0,2,1,2,84.37988796,0.16,0.1515,0.86,2.0485,0.2239,6,130,136
40554,1,0,1,18,0,2,1,3,38.28016259,0.16,0.1818,0.93,2.1582,0.1045,1,94,95
40554,1,0,1,21,0,2,1,3,31.40770196,0.16,0.197,0.86,2.003,0.0896,0,20,20
40554,1,0,1,22,0,2,1,3,7.371157423,0.16,0.1818,0.93,2.1582,0.1045,1,28,29
40554,1,0,1,23,0,2,1,3,48.15147287,0.16,0.197,0.93,2.143,0.0896,1,18,19
40555,1,0,1,0,0,3,1,2,98.54994542,0.16,0.197,0.86,2.003,0.0896,0,7,7
40555,1,0,1,1,0,3,1,2,30.49032603,0.16,0.1818,0.86,2.0182,0.1045,0,6,6
40555,1,0,1,2,0,3,1,1,20.87935514,0.14,0.1515,0.86,1.9885,0.1343,0,1,1
40555,1,0,1,5,0,3,1,1,43.28821811,0.14,0.1515,0.86,1.9885,0.1642,0,5,5
40555,1,0,1,6,0,3,1,1,98.85524264,0.12,0.1515,0.93,2.0685,0.1343,0,16,16
40555,1,0,1,7,0,3,1,1,89.98908934,0.14,0.1515,0.69,1.6485,0.1343,0,54,54
40555,1,0,1,8,0,3,1,1,67.11432069,0.16,0.1667,0.59,1.4933,0.1642,3,125,128
40555,1,0,1,9,0,3,1,1,27.21269455,0.16,0.1364,0.59,1.5236,0.3284,3,78,81
40555,1,0,1,10,0,3,1,1,12.67601733,0.18,0.1818,0.55,1.4582,0.2239,0,39,39
40555,1,0,1,11,0,3,1,1,52.26674917,0.2,0.1818,0.51,1.4382,0.3881,3,32,35
40555,1,0,1,12,0,3,1,1,15.40176812,0.2,0.1515,0.47,1.3885,0.5821,3,52,55
40555,1,0,1,13,0,3,1,1,34.76037624,0.22,0.197,0.44,1.343,0.3582,0,49,49
40555,1,0,1,14,0,3,1,1,40.17009782,0.2,0.1818,0.47,1.3582,0.3284,0,44,44
40555,1,0,1,15,0,3,1,1,21.22416094,0.2,0.1667,0.47,1.3733,0.4179,1,48,49
40555,1,0,1,17,0,3,1,,63.18224801,0.2,0.1818,0.47,NA,0.3582,0,139,139
40555,1,0,1,18,0,3,1,1,7.955126583,0.2,0.1515,0.47,1.3885,0.5224,2,135,137
40555,1,0,1,19,0,3,1,1,7.99801342,0.18,0.1515,0.47,1.3285,0.4179,1,82,83
40555,1,0,1,20,0,3,1,1,54.55533742,0.16,0.1364,0.5,1.3436,0.3284,2,54,56
40555,1,0,1,22,0,3,1,1,25.26176444,0.16,0.1212,0.55,1.4588,0.4478,1,32,33
40555,1,0,1,23,0,3,1,1,84.17268078,0.14,0.1061,0.59,1.4939,0.4179,1,19,20
40556,1,0,1,0,0,4,1,1,91.01551336,0.14,0.1212,0.59,1.4788,0.2836,1,6,7
40556,1,0,1,1,0,4,1,1,88.4934828,0.14,0.1212,0.5,1.2988,0.2836,0,2,2
40556,1,0,1,2,0,4,1,1,82.2939594,0.14,0.1212,0.5,1.2988,0.3582,0,2,2
40556,1,0,1,4,0,4,1,1,59.39638974,0.14,0.1212,0.5,1.2988,0.2537,0,4,4
40556,1,0,1,6,0,4,1,1,47.57359994,0.12,0.1515,0.54,1.2885,0.1343,0,28,28
40556,1,0,1,7,0,4,1,1,63.64514598,0.12,0.1515,0.54,1.2885,0.1343,0,72,72
40556,1,0,1,8,0,4,1,1,49.38240529,0.14,0.1364,0.5,1.2836,0.194,5,197,202
40556,1,0,1,9,0,4,1,1,40.1309718,0.14,0.1212,0.5,1.2988,0.3284,2,137,139
40556,1,0,1,11,0,4,1,2,11.15779085,0.2,0.1667,0.44,1.3133,0.4478,4,33,37
40556,1,0,1,12,0,4,1,1,94.23495067,0.2,0.1667,0.44,1.3133,0.4179,3,49,52
40556,1,0,1,13,0,4,1,1,75.32238084,0.22,0.197,0.41,1.283,0.4478,2,81,83
40556,1,0,1,14,0,4,1,1,32.13695142,0.22,0.197,0.41,1.283,0.3881,3,39,42
40556,1,0,1,15,0,4,1,1,72.53631563,0.24,0.2121,0.38,1.2679,0.2985,5,55,60
40556,1,0,1,16,0,4,1,1,83.70106037,NA,0.2121,0.38,1.2679,0.3582,2,76,78
40556,1,0,1,19,0,4,1,1,65.65043278,0.16,0.1515,0.47,1.2685,0.2537,1,98,99
40556,1,0,1,21,0,4,1,1,73.93019858,0.14,0.1212,0.46,1.2188,0.2985,0,40,40
40556,1,0,1,23,0,4,1,1,26.2986137,0.12,0.1364,0.5,1.2236,0.194,1,14,15
40557,1,0,1,0,0,5,1,1,82.39846535,0.12,0.1364,0.5,1.2236,0.194,0,14,14
40557,1,0,1,1,0,5,1,1,9.531201509,0.1,0.1212,0.54,1.2588,0.1642,0,5,5
40557,1,0,1,2,0,5,1,1,11.253552,0.1,0.1212,0.54,1.2588,0.1343,0,1,1
40557,1,0,1,3,0,5,1,1,81.32607345,0.1,0.1364,0.54,1.2436,0.1045,0,1,1
40557,1,0,1,7,0,5,1,1,0.899740091,0.1,0.1212,0.74,1.6588,0.1642,0,70,70
40557,1,0,1,10,0,5,1,1,80.38116529,0.18,0.1818,0.55,1.4582,0.194,4,40,44
40557,1,0,1,11,0,5,1,1,45.86776086,NA,0.1667,0.51,1.3933,0.2836,6,47,53
40557,1,0,1,12,0,5,1,1,2.28256428,0.2,0.197,0.44,1.283,0.2537,2,59,61
40557,1,0,1,13,0,5,1,1,79.78276999,0.22,0.197,0.37,1.203,0.3881,4,73,77
40557,1,0,1,14,0,5,1,1,73.44655088,0.22,0.2121,0.41,NA,0.2836,5,59,64
40557,1,0,1,15,0,5,1,1,37.09266899,0.24,0.2424,0.38,1.2376,0.1642,9,59,68
40557,1,0,1,16,0,5,1,1,15.70215424,0.22,0.2424,0.41,1.2376,0.1045,3,87,90
40557,1,0,1,17,0,5,1,1,95.32955443,0.22,0.2273,0.41,1.2527,0.1642,4,155,159
40557,1,0,1,18,0,5,1,1,57.0734517,0.2,0.2576,0.47,1.2824,0,5,134,139
40557,1,0,1,19,0,5,1,1,55.9910609,0.16,0.197,0.59,1.463,0.0896,3,89,92
40557,1,0,1,20,0,5,1,1,88.28297801,0.18,0.2424,0.59,1.4776,0,0,68,68
40557,1,0,1,22,0,5,1,2,15.23935671,0.16,0.2273,0.69,1.6327,0,2,34,36
40557,1,0,1,23,0,5,1,2,87.26827783,0.18,0.2424,0.55,1.3976,0,1,26,27
40558,1,0,1,0,0,6,0,1,78.55755082,0.18,0.2424,0.55,1.3976,0,3,25,28
40558,1,0,1,1,0,6,0,2,11.27138552,0.16,0.197,0.59,1.463,0.0896,2,18,20
40558,1,0,1,2,0,6,0,2,80.40679131,0.16,0.197,0.59,1.463,0.0896,0,12,12
40558,1,0,1,3,0,6,0,2,94.0836918,0.16,0.2273,0.59,1.4327,0,1,7,8
40558,1,0,1,4,0,6,0,2,43.37639099,0.16,0.2273,0.59,1.4327,0,0,5,5
40558,1,0,1,5,0,6,0,1,96.17918163,0.16,0.2273,0.59,NA,0,0,1,1
40558,1,0,1,9,0,6,0,1,55.18488186,0.16,0.1818,0.64,1.5782,0.1343,2,31,33
40558,1,0,1,10,0,6,0,1,49.50120816,0.18,0.197,0.59,1.523,0.1642,2,57,59
40558,1,0,1,11,0,6,0,1,83.51565431,0.2,0.197,0.55,1.503,0.2239,18,54,72
40558,1,0,1,12,0,6,0,1,22.1492152,0.24,0.2273,0.48,1.4527,0.2239,15,74,89
40558,1,0,1,14,0,6,0,1,28.83280653,0.3,0.2879,0.39,1.3921,0.2836,26,92,118
40558,1,0,1,15,0,6,0,2,30.32576845,0.32,0.3182,0.36,1.3618,0.194,21,108,129
40558,1,0,1,17,0,6,0,2,46.81573569,0.32,0.303,0.36,1.377,0.2836,29,54,83
40558,1,0,1,18,0,6,0,2,32.69264046,0.3,0.2879,0.45,1.5121,0.2537,15,69,84
